WaveId, Damage, Hp, CoinRewardMin-CoinRewardMax, PercentChance
wave-01,1,3,5&10,100
wave-02,2,8,6&12,100
wave-03,4,15,7&15,50
wave-04,6,30,8&20,50
wave-05,8,50,10&23,50
wave-06,10,75,15&26,50
wave-07,12,100,20&30,50
wave-08,14,125,25&35,50
wave-09,16,150,30&40,50
wave-10,18,200,35&50,50
wave-11,20,250,45&60,50
wave-12,22,300,50&70,50
wave-13,24,350,60&80,50
wave-14,26,400,70&90,50
wave-15,28,450,80&100,50
wave-16,30,500,90&100,50
wave-17,32,550,110&150,50
wave-18,34,600,120&200,50
wave-19,36,650,130&210,50
wave-20,38,700,140&220,50
wave-21,40,750,150&240,50
wave-22,42,800,170&250,50
wave-23,44,850,180&280,50
wave-24,46,900,200&300,50
wave-25,48,950,250&350,50
wave-26,50,1000,275&375,50
wave-27,52,1050,300&400,50
wave-28,54,1100,350&500,50
wave-29,56,1150,370&550,50
wave-30,58,1200,400&600,50
wave-31,60,1250,500&700,50
wave-32,62,1300,600&800,50
wave-33,64,1350,700&900,50
wave-34,66,1400,800&1000,50
wave-35,68,1450,900&1100,50
wave-36,70,1500,1000&1300,50
wave-37,72,1550,1200&1500,50
wave-38,74,1600,1300&1600,50
wave-39,76,1650,1400&1700,50
wave-40,78,1700,1500&2000,50
